Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4
1854,April,4,American,Schooner,James G. King,Rochester,Port Burwell,No Cargo,,,
1854,April,4,British,Steamer,Britannia,Hamilton,St Catherines,No Cargo,,,
1854,April,5,British,Schooner,Teresa Shickluna,St Catherines,Cape Vincent,Flour,,,
1854,April,5,American,Schooner,Sirius,Oswego,Huron,Plaster,,,
1854,April,6,British,Schooner,Sorell,Toronto ,Rondeau,No Cargo,,,
1854,April,6,American,Barkentine,Indiana,Oswego,Detroit,Plaster,,,
1854,April,7,British,Schooner,Orion,Port Dalhousie,St. Clair,No Cargo,,,
1854,April,7,British,Schooner,Sweet Home,Port Dalhousie,Clear Creek,No Cargo,,,
1854,April,7,British,Schooner,General Wolfe,Hamilton,Bear Creek,No Cargo,,,
1854,April,7,British,Schooner,Maid of the West,Hamilton,Bear Creek,No Cargo,,,
1854,April,7,British,Schooner,Royal Oak,Oakville,Chatham,No Cargo,,,
1854,April,7,British,Schooner,Morning Star,Toronto ,Port Colborne,Merchandise,,,
1854,April,7,British,Schooner,Jenny Lind,Toronto ,Dunnville,Merchandise,,,
1854,April,7,British,Schooner,Mary,St Catherines,Dunnville,No Cargo,,,
1854,April,7,American,Schooner,Comely,Oswego,Toledo,Plaster,,,
1854,April,8,American,Schooner,Armada,Toronto ,Toledo,No Cargo,,,
1854,April,8,British,Propeller,St. Lawrence,Hamilton,Chatham,No Cargo,,,
1854,April,8,British,Schooner,Caroline Marsh,Port Hope,Cleveland,No Cargo,,,
1854,April,8,British,Schooner,Jane Ann Marsh,Port Hope,Port Stanley,No Cargo,,,
1854,April,8,British,Schooner,Ann Jane Brown,Port Hope,Lake St. Clair,No Cargo,,,
1854,April,8,American,Brigantine,Manhattan,Oswego,Port Stanley,Salt,,,
1854,April,10,American,Brigantine,H.H. Sizer,Oswego,Detroit,Plaster,,,
